Date;Axe;Départ;Arrivée;Nombre de trains programmés;Nombre de trains ayant circulé;Nombre de trains annulés;Nombre de trains en retard à l'arrivée;Régularité;Commentaires
2014-08;Atlantique;ANGERS SAINT LAUD;PARIS MONTPARNASSE;440;440;0;21;95.2;
2014-08;Atlantique;ANGOULEME;PARIS MONTPARNASSE;327;327;0;31;90.5;
2014-08;Sud-Est;ANNECY;PARIS LYON;124;124;0;5;96.0;
2014-08;Sud-Est;AVIGNON TGV;PARIS LYON;524;524;0;89;83.0;En août, la régularité des TGV entre Paris et la Méditerranée a été fortement impactée par 8 accidents de personnes et par un acte de malveillance près du Creusot.
2014-08;Sud-Est;BESANCON FRANCHE COMTE TGV;PARIS LYON;214;214;0;9;95.8;
2014-08;Nord;LILLE;MARSEILLE ST CHARLES;124;124;0;13;89.5;
2014-08;Sud-Est;LYON PART DIEU;MONTPELLIER;397;397;0;75;81.1;
2014-08;Sud-Est;MACON LOCHE;PARIS LYON;188;188;0;25;86.7;
2014-08;Sud-Est;MULHOUSE VILLE;PARIS LYON;318;318;0;21;93.4;
2014-08;Est;PARIS EST;STRASBOURG;440;440;0;28;93.6;
2014-08;Sud-Est;PARIS LYON;BELLEGARDE (AIN);118;118;0;11;90.7;
2014-08;Sud-Est;PARIS LYON;TOULON;246;246;0;44;82.1;
2014-08;Sud-Est;PARIS LYON;VALENCE ALIXAN TGV;274;274;0;33;88.0;
2014-08;Atlantique;PARIS MONTPARNASSE;BREST;209;209;0;9;95.7;
2014-08;Atlantique;PARIS MONTPARNASSE;LE MANS;442;442;0;48;89.1;
2014-08;Atlantique;PARIS MONTPARNASSE;QUIMPER;175;175;0;10;94.3;
2014-08;Atlantique;POITIERS;PARIS MONTPARNASSE;505;505;0;29;94.3;
2014-08;Atlantique;QUIMPER;PARIS MONTPARNASSE;134;134;0;13;90.3;
2014-08;Est;REIMS;PARIS EST;209;207;2;9;95.7;
2014-08;Sud-Est;SAINT ETIENNE CHATEAUCREUX;PARIS LYON;65;65;0;3;95.4;
2014-08;Sud-Est;TOULON;PARIS LYON;321;321;0;58;81.9;En août, la régularité des TGV entre Paris et la Méditerranée a été fortement impactée par 8 accidents de personnes et par un acte de malveillance près du Creusot.
2014-08;Atlantique;TOURS;PARIS MONTPARNASSE;188;188;0;15;92.0;
2014-08;Atlantique;VANNES;PARIS MONTPARNASSE;160;160;0;14;91.3;
2014-09;Atlantique;ANGERS SAINT LAUD;PARIS MONTPARNASSE;457;457;0;32;93.0;
2014-09;Atlantique;ANGOULEME;PARIS MONTPARNASSE;316;315;1;38;87.9;
2014-09;Sud-Est;BELLEGARDE (AIN);PARIS LYON;196;196;0;17;91.3;
2014-09;Atlantique;BORDEAUX ST JEAN;PARIS MONTPARNASSE;635;632;3;53;91.6;
2014-09;Sud-Est;CHAMBERY CHALLES LES EAUX;PARIS LYON;200;200;0;27;86.5;
2014-09;Nord;DOUAI;PARIS NORD;193;193;0;32;83.4;
2014-09;Nord;LILLE;MARSEILLE ST CHARLES;119;119;0;20;83.2;
2014-09;Nord;LILLE;PARIS NORD;606;606;0;53;91.3;
2014-09;Sud-Est;MARSEILLE ST CHARLES;LYON PART DIEU;493;493;0;105;78.7;Plusieurs incidents liés à la présence de personnes ou d'animaux sur les voies ont fortement perturbé la régularité des TGV sur cette liaison en septembre.
2014-09;Sud-Est;MARSEILLE ST CHARLES;PARIS LYON;442;439;3;33;92.5;
2014-09;Est;NANCY;PARIS EST;285;285;0;12;95.8;
2014-09;Est;NANTES;STRASBOURG;42;42;0;4;90.5;
2014-09;Sud-Est;NICE VILLE;PARIS LYON;190;189;1;37;80.4;Les intempéries dans le Var, ainsi que plusieurs incidents liés à la présence de personnes ou d'animaux sur les voies, ont fortement perturbé la régularité des TGV sur cette liaison en septembre.
2014-09;Est;PARIS EST;METZ;297;297;0;10;96.6;
2014-09;Sud-Est;PARIS LYON;CHAMBERY CHALLES LES EAUX;189;189;0;18;90.5;
2014-09;Sud-Est;PARIS LYON;LE CREUSOT MONTCEAU MONTCHANIN;200;200;0;18;91.0;
2014-09;Sud-Est;PARIS LYON;MARSEILLE ST CHARLES;462;462;0;24;94.8;
2014-09;Atlantique;PARIS MONTPARNASSE;BREST;192;192;0;7;96.4;
2014-09;Atlantique;PARIS MONTPARNASSE;VANNES;168;168;0;15;91.1;
2014-09;Sud-Est;PERPIGNAN;PARIS LYON;149;148;1;28;81.1;Les intempéries sur les départements du Gard et de l'Hérault, ainsi que plusieurs incidents liés à la présence de personnes ou d'animaux sur les voies, ont fortement perturbé la régularité des TGV sur cette liaison en septembre.
2014-09;Atlantique;ST MALO;PARIS MONTPARNASSE;91;91;0;6;93.4;
2014-09;Sud-Est;TOULON;PARIS LYON;241;241;0;40;83.4;Les intempéries dans le Var, ainsi que plusieurs incidents liés à la présence de personnes ou d'animaux sur les voies, ont fortement perturbé la régularité des TGV sur cette liaison en septembre.
2014-10;Nord;DUNKERQUE;PARIS NORD;101;101;0;7;93.1;
2014-10;Atlantique;LA ROCHELLE VILLE;PARIS MONTPARNASSE;227;227;0;13;94.3;
2014-10;Sud-Est;LYON PART DIEU;MARSEILLE ST CHARLES;597;597;0;147;75.4;En octobre, la régularité de cette relation a été affectée par plusieurs accidents de personne et heurts d'animaux sur lignes à grande vitesse et par les intempéries en région PACA (inondations)
2014-10;Est;NANCY;PARIS EST;299;299;0;16;94.6;
2014-10;Atlantique;NANTES;PARIS MONTPARNASSE;572;570;2;53;90.7;
2014-10;Est;PARIS EST;NANCY;299;299;0;11;96.3;
2014-10;Sud-Est;PARIS LYON;PERPIGNAN;161;161;0;29;82.0;
2014-10;Nord;PARIS NORD;DOUAI;164;164;0;7;95.7;
2014-10;Atlantique;ST MALO;PARIS MONTPARNASSE;100;100;0;3;97.0;
2014-10;Sud-Est;TOULON;PARIS LYON;256;255;1;43;83.1;
2014-10;Atlantique;VANNES;PARIS MONTPARNASSE;171;171;0;11;93.6;
2014-11;Sud-Est;AIX EN PROVENCE TGV;PARIS LYON;412;412;0;69;83.3;
2014-11;Sud-Est;AVIGNON TGV;PARIS LYON;426;422;4;77;81.8;
2014-11;Nord;DOUAI;PARIS NORD;192;192;0;39;79.7;
2014-11;Sud-Est;GRENOBLE;PARIS LYON;226;225;1;23;89.8;
2014-11;Atlantique;LA ROCHELLE VILLE;PARIS MONTPARNASSE;218;218;0;10;95.4;
2014-11;Nord;MARSEILLE ST CHARLES;LILLE;550;548;2;155;71.7;Importantes précipitations sur Montpellier en fin de mois, heurts d'animal à St Georges d'Espéranches le 21 et à Vestric et Crisenoy le 28, plusieurs dérangements des installations à Vianges le 06 et à Upie le 20, colis suspects à Marseille le 3, défaillances Matériel à Aubagne le 4, Cesseins le 5 et Marolles le 14, des défauts d'alimentation à Montpellier le 3, Marseille le 4 et surtout à Lambersart du 20 au 24, heurt de branchages à Claveyson le 25, plusieurs ralentissements causes travaux, essentiellements sur Aubagne.
2014-11;Sud-Est;MONTPELLIER;LYON PART DIEU;381;378;3;79;79.1;La régularité des TGV de cette relation a été perturbée en novembre par 2 accidents de personne, 3 heurts d'animaux et par les intempéries en région PACA.
2014-11;Sud-Est;NICE VILLE;PARIS LYON;172;169;3;44;74.0;La régularité des TGV de cette relation a été perturbée en novembre par 2 accidents de personne, 3 heurts d'animaux et par les intempéries en région PACA.
2014-11;Sud-Est;NIMES;PARIS LYON;329;328;1;49;85.1;
2014-11;Sud-Est;PARIS LYON;AVIGNON TGV;470;466;4;38;91.8;
2014-11;Sud-Est;PARIS LYON;LE CREUSOT MONTCEAU MONTCHANIN;197;197;0;20;89.8;
2014-11;Atlantique;PARIS MONTPARNASSE;BORDEAUX ST JEAN;621;621;0;34;94.5;
2014-11;Atlantique;PARIS MONTPARNASSE;NANTES;545;545;0;14;97.4;
2014-11;Atlantique;PARIS MONTPARNASSE;TOURS;142;142;0;18;87.3;
2014-11;Est;REIMS;PARIS EST;203;203;0;9;95.6;
2014-11;Atlantique;ST PIERRE DES CORPS;PARIS MONTPARNASSE;429;429;0;73;83.0;
2014-11;Est;STRASBOURG;NANTES;44;44;0;4;90.9;
2014-11;Sud-Est;VALENCE ALIXAN TGV;PARIS LYON;266;265;1;38;85.7;
2014-12;Sud-Est;CHAMBERY CHALLES LES EAUX;PARIS LYON;243;243;0;45;81.5;D'importantes chutes de neige ont fortement perturbé le trafic TGV dans les Alpes le week end du 27 et du 28 décembre.
2014-12;Sud-Est;DIJON VILLE;PARIS LYON;470;470;0;37;92.1;
2014-12;Sud-Est;MACON LOCHE;PARIS LYON;198;198;0;17;91.4;
2014-12;Sud-Est;MARSEILLE ST CHARLES;PARIS LYON;432;432;0;18;95.8;
2014-12;Est;METZ;PARIS EST;298;298;0;27;90.9;
2014-12;Est;NANCY;PARIS EST;296;295;1;13;95.6;
2014-12;Sud-Est;PARIS LYON;CHAMBERY CHALLES LES EAUX;230;230;0;34;85.2;
2014-12;Sud-Est;PARIS LYON;PERPIGNAN;164;164;0;25;84.8;Les intempéries en région Languedoc Roussillon ont perturbé la régularité de cette relation en décembre.
2014-12;Sud-Est;PARIS LYON;SAINT ETIENNE CHATEAUCREUX;21;21;0;0;100.0;
2014-12;Atlantique;PARIS MONTPARNASSE;LA ROCHELLE VILLE;223;222;1;17;92.3;
2014-12;Atlantique;PARIS MONTPARNASSE;QUIMPER;148;148;0;19;87.2;
2014-12;Atlantique;PARIS MONTPARNASSE;ST MALO;58;58;0;7;87.9;
2014-12;Atlantique;PARIS MONTPARNASSE;ST PIERRE DES CORPS;473;473;0;46;90.3;
2014-12;Atlantique;PARIS MONTPARNASSE;TOURS;154;154;0;22;85.7;
2014-12;Atlantique;PARIS MONTPARNASSE;VANNES;167;167;0;21;87.4;
2014-12;Nord;PARIS NORD;DOUAI;106;106;0;6;94.3;
2014-12;Sud-Est;SAINT ETIENNE CHATEAUCREUX;PARIS LYON;10;10;0;0;100.0;
2014-12;Est;STRASBOURG;NANTES;43;43;0;3;93.0;
2014-12;Atlantique;TOULOUSE MATABIAU;PARIS MONTPARNASSE;127;127;0;13;89.8;
2014-12;Atlantique;TOURS;PARIS MONTPARNASSE;196;196;0;26;86.7;
2015-01;Nord;DOUAI;PARIS NORD;190;190;0;32;83.2;
2015-01;Sud-Est;MACON LOCHE;PARIS LYON;187;187;0;17;90.9;
2015-01;Sud-Est;MARSEILLE ST CHARLES;LYON PART DIEU;527;527;0;79;85.0;
2015-01;Est;NANCY;PARIS EST;288;287;1;18;93.7;
2015-01;Sud-Est;NICE VILLE;PARIS LYON;178;176;2;23;86.9;5 collisions avec des animaux sauvages sur la ligne à grande vitesse ont perturbé la régularité de cette relation en janvier 2015
2015-01;Sud-Est;PARIS LYON;BESANCON FRANCHE COMTE TGV;192;192;0;12;93.8;
2015-05;Atlantique;QUIMPER;PARIS MONTPARNASSE;210;210;0;14;93.3;Cette ligne a été retardée par : un accident de personne à Yvre-l'Evêque le 14/05 (15 TGV soit 1456 minutes), une disjonction sur la LGV le 25/05 (6 TGV soit 87 minutes), heurt d'un animal sur la LGV le 12/05 (30 TGV soit 1799 minutes) et heurt d'une voiture le 06/05 à Vitré (18 TGV soit 1704 minutes)
